Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_46_975.jpg;-6.503573;0.5664284;0;1.110765;100.588;86.76105;359.9007;46.53405;359.1246
D:\IMG\robocam_2018_09_19_18_49_47_073.jpg;-2.312159;0.8458561;0;1.145407;100.6552;86.82943;359.9915;46.21709;359.1638
D:\IMG\robocam_2018_09_19_18_49_47_169.jpg;0;1;0;1.197745;100.7445;86.92292;0.2728166;46.18883;359.3017
D:\IMG\robocam_2018_09_19_18_49_47_264.jpg;0;0.7127981;0;1.274148;100.839;87.022;0.6314995;46.20338;359.4983
D:\IMG\robocam_2018_09_19_18_49_47_356.jpg;0;0.4285257;0;1.326973;100.9351;87.12325;0.9208189;46.22406;359.7565
D:\IMG\robocam_2018_09_19_18_49_47_451.jpg;0;0.1563748;0;1.358461;101.0122;87.20406;1.079461;46.23448;359.9557
D:\IMG\robocam_2018_09_19_18_49_47_538.jpg;0;0;0;1.364043;101.1076;87.30224;1.121658;46.21885;0.09770416
D:\IMG\robocam_2018_09_19_18_49_47_638.jpg;0;0;0;1.359178;101.2005;87.39765;0.9822162;46.2034;0.1609672
D:\IMG\robocam_2018_09_19_18_49_47_729.jpg;0;0.298208;0;1.353115;101.2745;87.47406;0.8390018;46.19245;0.1996611
D:\IMG\robocam_2018_09_19_18_49_47_820.jpg;0;0.5717371;0;1.366226;101.3697;87.57238;0.7174418;46.17904;0.2265623
D:\IMG\robocam_2018_09_19_18_49_47_915.jpg;0;0.8464662;0;1.405617;101.4701;87.67599;0.7157454;46.16418;0.2222057
D:\IMG\robocam_2018_09_19_18_49_48_004.jpg;0;1;0;1.467435;101.555;87.76366;0.8147136;46.15013;0.1914299
D:\IMG\robocam_2018_09_19_18_49_48_096.jpg;0;1;0;1.527116;101.6673;87.87936;1.041178;46.12885;0.1175275
D:\IMG\robocam_2018_09_19_18_49_48_186.jpg;0;1;0;1.602303;101.7616;87.97604;1.259598;46.09976;0.01795637
